STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-22,0.0,",,E",17.0,",,E",9.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-23,0.0,",,E",16.0,",,E",7.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-24,0.0,",,E",15.0,",,E",9.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-25,0.0,",,E",11.0,",,E",5.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-26,0.0,",,E",16.0,",,E",6.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-27,,,15.2,,10.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-28,0.0,",,E",21.0,",,E",5.6,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-29,10.1,",,E",18.0,",,E",8.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-30,3.0,",,E",12.0,",,E",4.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-03-31,4.4,",,E",11.0,",,E",3.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-01,0.0,",,E",14.0,",,E",4.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-02,0.0,",,E",18.0,",,E",9.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-03,,,20.6,,9.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-05,0.0,",,E",18.0,",,E",12.6,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-06,0.0,",,E",20.0,",,E",12.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-07,0.0,",,E",20.0,",,E",11.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-08,0.0,",,E",25.0,",,E",15.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-09,0.0,",,E",20.0,",,E",15.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-10,,,17.0,,10.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-11,0.0,",,E",15.0,",,E",11.2,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-12,5.2,",,E",20.0,",,E",10.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-13,31.7,",,E",11.0,",,E",9.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-14,0.0,",,E",16.0,",,E",9.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-15,0.0,",,E",23.0,",,E",11.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-16,0.0,",,E",28.0,",,E",17.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-17,,,13.4,,17.0,",I,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-18,0.0,",,E",14.0,",I,E",5.4,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-19,0.0,",,E",15.0,",,E",6.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-20,0.0,",,E",16.0,",,E",6.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-21,5.2,",,E",13.0,",,E",9.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-22,0.0,",,E",9.0,",,E",2.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-23,0.0,",,E",13.0,",,E",4.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-24,,,19.8,,5.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-25,0.0,",,E",16.0,",,E",12.2,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-26,0.0,",,E",21.0,",,E",13.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-27,0.0,",,E",18.0,",,E",8.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-28,0.0,",,E",23.0,",,E",12.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-29,2.7,",,E",21.0,",,E",18.0,",I,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-04-30,0.0,",,E",13.0,",I,E",10.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-01,,,20.4,,9.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-03,0.0,",,E",22.0,",,E",11.2,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-04,0.0,",,E",26.0,",,E",16.0,",I,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-05,0.0,",,E",14.0,",I,E",8.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-06,0.0,",,E",18.0,",,E",8.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-07,0.0,",,E",22.0,",,E",9.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-08,,,28.2,,15.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-09,0.0,",,E",26.0,",,E",19.6,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-10,0.0,",,E",28.0,",,E",18.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-11,0.0,",,E",30.0,",,E",20.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-12,0.0,",,E",28.0,",,E",19.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-13,0.0,",,E",29.0,",,E",20.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-14,0.0,",,E",30.0,",,E",21.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-15,,,21.8,,24.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-16,0.0,",,E",27.0,",,E",12.2,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-17,0.0,",,E",20.0,",,E",12.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-18,2.5,",,E",21.0,",,E",14.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-19,,,23.8,,12.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-20,0.0,",,E",19.0,",,E",15.8,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-21,,,26.0,,11.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-24,0.0,",,E",25.0,",,E",17.4,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-25,0.0,",,E",24.0,",,E",17.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-26,0.0,",,E",27.0,",,E",16.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-27,0.0,",,E",28.0,",,E",19.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-28,0.0,",,E",26.0,",,E",16.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-29,,,23.4,,19.0,",,E"
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-30,2.8,",,E",28.0,",,E",13.2,
AGE00147709,"FORT NATIONAL, AG",36.63,4.2,942.0,1920-05-31,0.0,",,E",25.0,",,E",17.0,",,E"
