STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,PRCP_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-01-27,0.0,",,X",18.3,",,X",7.8,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-01-28,0.0,",,X",20.0,",,X",7.2,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-01-29,0.0,",,X",18.3,",,X",5.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-01-30,0.0,",,X",17.8,",,X",7.8,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-01-31,0.0,",,X",17.8,",,X",7.8,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-01,0.0,"T,,X",15.0,",,X",8.3,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-02,0.0,",,X",15.6,",,X",8.3,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-03,0.0,",,X",16.1,",,X",7.8,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-04,2.3,",,X",15.6,",,X",11.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-05,0.0,",,X",17.8,",,X",8.3,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-06,0.5,",,X",17.2,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-07,0.0,",,X",16.1,",,X",8.9,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-08,0.0,",,X",16.1,",,X",6.1,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-09,0.0,",,X",19.4,",,X",7.8,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-10,0.0,",,X",20.0,",,X",5.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-11,0.0,",,X",18.9,",,X",4.4,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-12,0.0,",,X",17.8,",,X",11.1,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-13,1.8,",,X",17.2,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-14,1.8,",,X",16.1,",,X",9.4,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-15,0.0,",,X",20.0,",,X",4.4,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-16,0.0,",,X",23.3,",,X",3.9,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-17,0.0,",,X",25.0,",,X",5.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-18,0.0,",,X",23.3,",,X",6.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-19,0.0,",,X",17.8,",,X",6.1,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-20,0.0,",,X",18.3,",,X",5.6,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-21,0.0,",,X",20.0,",,X",8.9,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-22,0.0,"T,,X",18.9,",,X",10.6,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-23,1.5,",,X",18.3,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-24,12.7,",,X",17.8,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-25,3.6,",,X",18.3,",,X",11.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-26,3.0,",,X",15.6,",,X",10.6,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-27,0.0,",,X",17.2,",,X",8.9,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-02-28,0.0,"T,,X",18.3,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-01,0.0,"T,,X",17.8,",,X",11.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-02,1.0,",,X",18.3,",,X",9.4,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-03,0.0,",,X",18.9,",,X",6.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-04,0.0,",,X",19.4,",,X",6.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-05,0.0,",,X",25.0,",,X",6.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-06,0.0,",,X",26.1,",,X",9.4,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-07,0.0,",,X",22.8,",,X",9.4,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-08,0.0,",,X",18.3,",,X",6.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-09,0.0,",,X",21.1,",,X",9.4,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-10,20.1,",,X",17.8,",,X",12.2,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-11,0.0,",,X",18.3,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-12,0.0,",,X",18.3,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-13,0.0,",,X",18.3,",,X",7.8,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-14,0.0,",,X",18.9,",,X",7.8,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-15,0.0,",,X",18.9,",,X",10.6,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-16,0.0,"T,,X",20.0,",,X",11.1,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-17,0.0,",,X",21.7,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-18,0.0,",,X",18.9,",,X",11.1,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-19,0.0,"T,,X",18.9,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-20,0.0,",,X",18.9,",,X",6.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-21,0.0,",,X",20.0,",,X",7.2,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-22,0.0,",,X",21.7,",,X",6.1,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-23,0.0,",,X",25.0,",,X",7.2,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-24,0.0,",,X",29.4,",,X",7.8,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-25,0.0,",,X",23.9,",,X",12.8,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-26,0.0,",,X",18.9,",,X",13.9,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-27,5.8,",,X",18.3,",,X",12.8,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-28,9.9,",,X",16.7,",,X",11.1,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-29,17.5,",,X",17.8,",,X",11.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-30,1.5,",,X",18.9,",,X",12.2,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-03-31,0.0,"T,,X",18.3,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-01,0.0,",,X",17.8,",,X",6.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-02,0.0,",,X",18.9,",,X",6.1,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-03,0.0,",,X",18.9,",,X",8.3,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-04,0.0,",,X",18.3,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-05,0.0,",,X",18.9,",,X",8.3,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-06,0.8,",,X",16.7,",,X",11.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-07,0.0,",,X",20.6,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-08,0.0,",,X",22.8,",,X",11.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-09,0.0,",,X",32.8,",,X",12.2,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-10,0.0,",,X",25.0,",,X",13.9,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-11,3.6,",,X",22.8,",,X",18.3,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-12,0.0,"T,,X",23.3,",,X",16.1,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-13,0.0,",,X",21.1,",,X",15.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-14,0.0,"T,,X",18.9,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-15,0.0,"T,,X",18.9,",,X",10.0,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-16,0.0,",,X",18.9,",,X",6.7,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-17,0.0,",,X",19.4,",,X",8.9,",,X"
MOW00013017,"KENITRA PORT LYAUTEY, MO",34.3,-6.6,12.2,1950-04-18,0.0,"T,,X",20.6,",,X",10.0,",,X"
